,id,price,ms,rooms,floor,lat,lon,air_conditioning,wardrobes,lift,exterior,garden,swimming_pool,terrace,storeroom,garage,district,subdistrict,share_loc,needs_renovating,good_condition,new_dev,pricems
137,36108382.0,410000.0,129,3.0,4,40.4191903,-3.6690387,1,1,1,1,0,0,1,0,0, Retiro , Estrella ,0,0,1,0,3178.29457364
138,27677692.0,100000.0,69,3.0,6,40.3769134,-3.7333224,0,0,1,0,0,0,0,0,0, Carabanchel , Abrantes ,0,0,1,0,1449.27536232
139,33247359.0,194000.0,54,1.0,7,40.4700965,-3.6831192,0,0,1,1,0,0,0,0,0, Chamart\xedn , Castilla ,0,0,1,0,3592.59259259
140,35809194.0,59000.0,70,3.0,Ground floor,40.340735,-3.7122104,0,0,0,1,0,0,0,0,0, Villaverde , San Andr\xe9s ,0,1,0,0,842.857142857
143,33801922.0,195000.0,116,4.0,3,40.3810549,-3.6266776,1,1,1,1,0,0,1,1,1, Villa de Vallecas , Casco Hist\xf3rico de Vallecas ,1,0,1,0,1681.03448276
144,35242535.0,350000.0,115,3.0,2,40.4004549,-3.6759448,1,1,1,1,0,0,0,0,0, Retiro , Pac\xedfico ,0,0,1,0,3043.47826087
145,32108040.0,162400.0,72,3.0,3,40.3898953,-3.7434184,0,0,0,0,0,0,0,0,0, Carabanchel , Vista Alegre ,1,0,0,0,2255.55555556
146,35815444.0,222000.0,40,1.0,4,40.409282,-3.7047152,1,0,0,0,0,0,0,0,0, Centro , Lavapi\xe9s-Embajadores ,1,0,1,0,5550.0
147,36160799.0,137260.0,70,2.0,1,40.3986515,-3.6634929,1,1,0,1,0,0,1,0,0, Puente de Vallecas , Numancia ,0,0,1,0,1960.85714286
148,27059340.0,530000.0,115,3.0,2,40.420529,-3.7188513,0,1,1,1,0,0,1,0,0, Moncloa , Casa de Campo ,0,0,1,0,4608.69565217
149,34273000.0,320000.0,87,2.0,7,40.4402762,-3.6799529,1,1,1,0,0,0,1,1,0, Chamart\xedn , El Viso ,1,1,0,0,3678.16091954
151,32999871.0,290000.0,82,2.0,2,40.375854,-3.6103752,1,1,1,1,1,1,0,1,1, Villa de Vallecas , Ensanche de Vallecas - La Gavia ,1,0,1,0,3536.58536585
152,1985722.0,200000.0,75,3.0,2,40.389298,-3.7420073,0,0,0,1,0,0,1,0,0, Carabanchel , Vista Alegre ,1,0,1,0,2666.66666667
153,35984003.0,1095000.0,200,3.0,2,40.4360189,-3.6932437,0,0,1,1,0,0,0,0,0, Chamber\xed , Almagro ,0,1,0,0,5475.0
154,30438731.0,400000.0,120,3.0,12,40.4101993,-3.659382,1,1,1,1,1,0,1,1,1, Moratalaz , Media Legua ,1,0,1,0,3333.33333333
156,32940628.0,385000.0,102,3.0,2,40.4488031,-3.7076206,0,0,1,1,0,0,1,0,0, Chamber\xed , Vallehermoso ,0,0,1,0,3774.50980392
157,33233431.0,175000.0,90,2.0,6,40.3474849,-3.6782539,1,1,1,1,1,1,1,1,1, Villaverde , Butarque ,1,0,1,0,1944.44444444
158,1997924.0,475000.0,120,2.0,4,40.4150747,-3.7255569,1,1,1,1,1,1,0,1,1, Latina , Puerta del \xc1ngel ,1,0,1,0,3958.33333333
159,33795126.0,88000.0,57,3.0,2,40.3861389,-3.6741563,0,0,0,1,0,0,1,0,0, Puente de Vallecas , Entrev\xedas ,0,1,0,0,1543.85964912
160,33547939.0,450000.0,110,3.0,Ground floor,40.4309817,-3.6998181,0,0,1,1,0,0,0,1,0, Chamber\xed , Trafalgar ,0,1,0,0,4090.90909091
161,34361326.0,875000.0,236,4.0,7,40.454773,-3.6699901,0,0,1,1,1,0,0,1,1, Chamart\xedn , Bernab\xe9u-Hispanoam\xe9rica ,0,0,1,0,3707.62711864
162,35339383.0,240000.0,106,3.0,1,40.3876117,-3.7194984,0,1,1,1,1,1,1,1,1, Carabanchel , Opa\xf1el ,0,0,1,0,2264.1509434
163,25554084.0,950000.0,238,4.0,Mezzanine,40.4384954,-3.683055,0,1,1,1,1,0,0,1,1, Chamart\xedn , El Viso ,0,0,1,0,3991.59663866
164,36063789.0,56000.0,60,2.0,1,40.3440091,-3.6868109,0,1,0,1,0,0,0,0,0, Villaverde , San Crist\xf3bal ,1,0,1,0,933.333333333
